model,target,variogram_model,fold,test_blocks,n_train_available,n_train_used,n_test,n_closest_points,status,error,mae,rmse,r2,mape,bias,explained_variance
OrdinaryKriging,P,gaussian,2,Vazhoor,3857,1200,1051,48,success,,38.662940801196115,51.726675385670084,-0.1656236824161872,155.17748548904322,-13.760891401476995,-0.08312968181316194
OrdinaryKriging,P,gaussian,3,Chelannur,3906,1200,1002,48,success,,19.54870170108069,27.962956696226325,-0.004158639745631021,101.76923548331645,1.7992635436606044,-1.202429171787145e-06
OrdinaryKriging,P,gaussian,4,Nedumangad,3909,1200,999,48,success,,44.81736319115393,53.20442359988382,-0.01578992194846296,169.3284778600701,6.223029830346806,-0.0018932060104144277
OrdinaryKriging,P,linear,1,Pampady,3052,1200,1856,48,success,,37.89415323114193,49.858891754848266,-0.06355581715571734,141.93651282143313,-3.6719718955948264,-0.05778717309772552
OrdinaryKriging,P,linear,2,Vazhoor,3857,1200,1051,48,success,,38.685277634730724,51.74695756172547,-0.1665379503250286,155.35600521370824,-13.71971222111869,-0.08453693414454988
OrdinaryKriging,P,linear,3,Chelannur,3906,1200,1002,48,success,,18.45322717671852,27.925667584665568,-0.0014822977766018042,89.69217627715662,-1.1453230669906478,0.00020228425535351313
OrdinaryKriging,P,linear,4,Nedumangad,3909,1200,999,48,success,,44.8173631912149,53.2044235999028,-0.015789921949188157,169.32847786060543,6.223029830536739,-0.001893206010291193
OrdinaryKriging,K,spherical,1,Pampady,3052,1200,1856,48,success,,187.47202840170263,247.35255708704742,-0.9777740219130124,39.783515176511756,-174.3770605296038,0.005155919212144755
OrdinaryKriging,K,spherical,2,Vazhoor,3857,1200,1051,48,success,,198.43104339098355,227.503899703672,-0.5426462632580233,125.39386199491764,127.3051400312689,-0.0596091073652496
OrdinaryKriging,K,spherical,3,Chelannur,3906,1200,1002,48,success,,244.07766576638576,263.359604814278,-3.191445283123425,164.2366347559065,229.80578796259303,2.220446049250313e-16
OrdinaryKriging,K,spherical,4,Nedumangad,3909,1200,999,48,success,,119.64485419802043,159.01578028781302,0.003817081591523719,53.18239624989314,2.6910533315734932,0.004102382563205165
OrdinaryKriging,K,exponential,1,Pampady,3052,1200,1856,48,success,,187.47202840170263,247.35255708704736,-0.9777740219130118,39.783515176511756,-174.37706052960377,0.005155919212144755
OrdinaryKriging,K,exponential,2,Vazhoor,3857,1200,1051,48,success,,198.51972783780388,227.58434529044112,-0.5437374183965624,125.45654079607785,127.46605277780706,-0.059478380048996415
OrdinaryKriging,K,exponential,3,Chelannur,3906,1200,1002,48,success,,202.14537296041428,222.0619519690847,-1.9799829786110683,138.12539431614422,181.00809165751593,0.0
OrdinaryKriging,K,exponential,4,Nedumangad,3909,1200,999,48,success,,119.41820245425782,158.97803361893875,0.004289967033447195,52.90075978547246,1.4959105198750122,0.004378126686823802
OrdinaryKriging,K,gaussian,1,Pampady,3052,1200,1856,48,success,,187.47202840170263,247.3525570870474,-0.9777740219130122,39.783515176511756,-174.3770605296038,0.005155919212144755
OrdinaryKriging,K,gaussian,2,Vazhoor,3857,1200,1051,48,success,,201.62336757514535,230.58195893757005,-0.5846717274242565,127.78570870578747,132.51808154252817,-0.06126543351413116
OrdinaryKriging,K,gaussian,3,Chelannur,3906,1200,1002,48,success,,237.8159461869308,257.2174203096099,-2.998215826464848,160.41326260360697,222.74025241052888,2.220446049250313e-16
OrdinaryKriging,K,gaussian,4,Nedumangad,3909,1200,999,48,success,,119.3861025355691,158.99001596019005,0.004139865956532707,52.87107415432698,1.4502558881518577,0.00422272652646194
OrdinaryKriging,K,linear,1,Pampady,3052,1200,1856,48,success,,187.47202840170263,247.3525570870474,-0.9777740219130122,39.783515176511756,-174.3770605296038,0.005155919212144755
OrdinaryKriging,K,linear,2,Vazhoor,3857,1200,1051,48,success,,200.2454271184466,229.25033171913813,-0.5664213945731442,126.7492201650147,130.29665458513853,-0.06041594857266208
OrdinaryKriging,K,linear,3,Chelannur,3906,1200,1002,48,success,,247.21925784296585,266.43898677478603,-3.29003686574419,166.1468669979343,233.32866941776714,6.983831267848295e-06
OrdinaryKriging,K,linear,4,Nedumangad,3909,1200,999,48,success,,119.48179781692293,159.003114719352,0.003975766728943397,52.99715835598073,2.031421068096102,0.0041383435194845
OrdinaryKriging,Organic_Carbon,spherical,1,Pampady,3052,1200,1856,48,success,,0.8568878769602015,1.0700364472805377,-0.05548781438187067,124.85792259132742,0.21971496602665405,-0.010986241351435888
OrdinaryKriging,Organic_Carbon,spherical,2,Vazhoor,3857,1200,1051,48,success,,0.9260116099907642,1.1992337843722327,-0.07200687827487728,98.08688583822412,0.04119842651191681,-0.07074170176162431
OrdinaryKriging,Organic_Carbon,spherical,3,Chelannur,3906,1200,1002,48,success,,0.6865475465669507,0.879237416586747,-0.2168137160650625,241.4204108955649,0.3711397661879068,0.0
OrdinaryKriging,Organic_Carbon,spherical,4,Nedumangad,3909,1200,999,48,success,,1.0383771534697257,1.2268916749308576,-0.4411820284134973,181.33350448029722,0.6730834032818298,-0.007427359432023106
OrdinaryKriging,Organic_Carbon,exponential,1,Pampady,3052,1200,1856,48,success,,0.8581597177907627,1.0710628408252736,-0.0575136621220107,125.14301546139839,0.22373717543550964,-0.011367840357010106
OrdinaryKriging,Organic_Carbon,exponential,2,Vazhoor,3857,1200,1051,48,success,,0.9238116827024035,1.1901380306032008,-0.05580697976222604,101.64688154929304,0.10919012686945283,-0.046919950635912144
