target,variogram_model,mae,rmse,r2,mape,bias,explained_variance
P,exponential,34.97693932350941,45.59501953289323,-0.05764266928103745,140.35017470999395,-2.6883107623700164,-0.03276628153558231
P,spherical,35.168271401964304,45.68148353998436,-0.061729777066078184,141.50237511218643,-2.493190226794532,-0.03584850881615059
P,linear,34.96250530845152,45.68398512528553,-0.06184149680163398,139.07829304322587,-3.0784943382918564,-0.03600375724930327
P,gaussian,35.2586423442943,45.74736718194018,-0.06481065411971709,141.99270256624362,-2.4307930745033186,-0.03797545448315881
S,spherical,15.926038504982294,24.94896160267788,-0.08604470495546973,214.86861026212205,-2.650168957909836,-0.049410542046256584
S,exponential,15.890624057590793,24.965904715478985,-0.08732612426509623,211.19752485893775,-2.787782074795901,-0.048174314554918024
S,gaussian,15.819775438540717,24.974869645990392,-0.08774342081751516,207.27917684100893,-3.0143259464375673,-0.04762950658966092
S,linear,15.336795952899461,25.175235468230348,-0.10510199707312828,200.45004785764908,-4.860573462369228,-0.04746296118814483
Zn,exponential,4.910042165462728,5.863044132504736,-66.28673597080828,570.6121167444443,-0.42265857573634924,-1.4479815576891337
Zn,gaussian,4.947140898942078,5.9023513177825295,-69.081212354467,580.0612031724613,-0.3779972729250161,-1.6770994180884045
Zn,linear,4.96632575096908,5.906959674026476,-67.81756655178685,576.4151999217282,-0.43495720498582574,-1.612740277097107
Zn,spherical,4.978692824703243,5.923167205145119,-69.15760702701458,581.0680380577016,-0.40869913748086817,-1.6815459520862177
pH,linear,0.7412716765868836,0.888894122934737,-0.5827617956430449,12.532822318147701,-0.19794254848767615,-0.016456115726429632
pH,spherical,0.7696699580016606,0.9202666933899002,-0.6848349753104612,12.888504185241741,-0.2851449671455114,-0.012585417123927328
pH,exponential,0.7847146241227494,0.9358968985279452,-0.742292667759602,13.084919698714483,-0.3549125126839947,-0.03981269675709659
pH,gaussian,5.202614741444294,5.317138505904935,-221.46043635983216,86.82554990005832,-4.846902848555793,-0.019701795122196608
