district,block,target,variogram_model,status,error,tif_path,png_path,stats_path
Kozhikode,Chelannur,Cu,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Cu\Cu_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\Cu\Cu_ok_best_stats.csv
Kozhikode,Chelannur,B,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\B\B_ok_best.png,D:\NutriMap-AI\results\OK\maps\Kozhikode\Chelannur\B\B_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,pH,linear,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\pH\pH_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\pH\pH_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,EC,linear,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\EC\EC_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\EC\EC_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,P,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\P\P_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\P\P_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,K,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\K\K_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\K\K_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Organic_Carbon,linear,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Organic_Carbon\Organic_Carbon_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Organic_Carbon\Organic_Carbon_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Ca,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Ca\Ca_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Ca\Ca_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Mg,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Mg\Mg_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Mg\Mg_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,S,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\S\S_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\S\S_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Fe,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Fe\Fe_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Fe\Fe_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Mn,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Mn\Mn_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Mn\Mn_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Zn,exponential,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Zn\Zn_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Zn\Zn_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,Cu,spherical,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Cu\Cu_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\Cu\Cu_ok_best_stats.csv
Thiruvananthapuram,Nedumangad,B,gaussian,success,,,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\B\B_ok_best.png,D:\NutriMap-AI\results\OK\maps\Thiruvananthapuram\Nedumangad\B\B_ok_best_stats.csv
