x_utm43n_m,y_utm43n_m,Longitude,Latitude,pH
588908.3582550683,1262544.895129721,75.81500244140625,11.420000076293944,5.6
586400.3718921829,1261984.9971170183,75.79199981689453,11.414999961853027,5.6
585854.8818111967,1262094.1381496561,75.78700256347656,11.416000366210938,5.6
590974.5101216484,1264762.4362057284,75.83399963378906,11.4399995803833,5.6
590767.5827493309,1260891.369950788,75.83200073242188,11.404999732971191,5.6
591306.7218642703,1262994.0513414869,75.83699798583984,11.423999786376951,5.6
592512.4549503046,1261117.584074094,75.8479995727539,11.406999588012695,5.6
590329.5151292651,1261553.682983395,75.8280029296875,11.41100025177002,5.6
589022.0697696577,1260886.4056313618,75.81600189208984,11.404999732971191,5.6
585965.4241913016,1261541.5060066138,75.78800201416016,11.41100025177002,5.6
586751.3955762434,1253249.8803459916,75.79499816894531,11.336000442504885,5.6
592090.1140995687,1256361.2598650767,75.84400177001953,11.36400032043457,5.6
591433.6550581923,1256801.6693310381,75.83799743652344,11.368000030517578,5.6
587176.962483953,1257453.1386020652,75.79900360107422,11.37399959564209,5.6
588593.4262164857,1257899.4771013726,75.81199645996094,11.378000259399414,5.6
589786.6229133717,1260446.2605558222,75.822998046875,11.401000022888184,5.6
592081.437128946,1259346.9802295675,75.84400177001953,11.390999794006348,5.6
588153.8303716312,1259114.6435652373,75.80799865722656,11.388999938964844,5.6
587828.5261202848,1258450.281574798,75.80500030517578,11.383000373840332,5.6
588479.4292583832,1259668.4871942003,75.81099700927734,11.394000053405762,5.6
588152.9062643917,1259446.4229224722,75.80799865722656,11.392000198364258,5.6
591100.7615237727,1258791.2036742258,75.83499908447266,11.38599967956543,5.6
587499.541406326,1259112.8281693317,75.802001953125,11.388999938964844,5.6
591977.5270549692,1257577.3354216435,75.84300231933594,11.375,5.6
585538.5989467519,1257780.4545121011,75.78399658203125,11.376999855041504,5.6
581509.6884245536,1254784.1628772225,75.74700164794922,11.350000381469728,5.6
581727.5273208692,1254895.2444079947,75.7490005493164,11.35099983215332,5.6
583801.4034997335,1254568.870541154,75.76799774169922,11.347999572753906,5.6
582056.4247222452,1254232.644778447,75.75199890136719,11.345000267028809,5.6
586418.4778874181,1255349.9637126252,75.79199981689453,11.354999542236328,5.7
587404.5090531658,1254025.7519694797,75.8010025024414,11.343000411987305,5.7
587835.2664347108,1256017.4133785337,75.80500030517578,11.361000061035156,5.7
587947.6946261029,1254801.3351150048,75.80599975585938,11.350000381469728,5.7
588279.797526889,1253032.8283725542,75.80899810791016,11.333999633789062,5.7
588162.1356403383,1256128.9487092628,75.80799865722656,11.362000465393066,5.7
590674.9962036889,1255140.6807005086,75.83100128173828,11.352999687194824,5.7
589686.3499219886,1257349.6157267985,75.8219985961914,11.373000144958496,5.7
593512.946570402,1254927.7557417988,75.85700225830078,11.35099983215332,5.7
593182.6505646582,1255700.879731054,75.85399627685547,11.357999801635742,5.7
593837.8508405027,1255702.809901021,75.86000061035156,11.357999801635742,5.7
593727.1564141181,1256255.4236654236,75.85900115966797,11.36299991607666,5.7
594163.3943997498,1256256.7153517257,75.86299896240234,11.36299991607666,5.7
593391.831070208,1259019.0340582537,75.85600280761719,11.387999534606934,5.7
594369.3226090544,1260348.9748846805,75.86499786376953,11.399999618530272,5.7
595682.0473666248,1259247.1356188252,75.87699890136719,11.390000343322754,5.7
596009.1964285556,1259248.1263034132,75.87999725341797,11.390000343322754,5.7
596009.8675424813,1259026.8659782875,75.87999725341797,11.387999534606934,5.7
588254.2343732188,1262211.2768361405,75.80899810791016,11.416999816894531,5.7
588692.149080608,1261880.7210047806,75.81300354003906,11.413999557495115,5.7
586406.417502237,1259773.3866779057,75.79199981689453,11.395000457763672,5.7
587165.0806533822,1261765.9459126452,75.79900360107422,11.413000106811523,5.7
586949.2134491821,1260659.4831412404,75.7969970703125,11.402999877929688,5.7
588473.548724985,1261769.5839488774,75.81099700927734,11.413000106811523,5.7
587057.64702849,1260880.9340161455,75.7979965209961,11.404999732971191,5.7
590765.359162151,1261665.456711713,75.83200073242188,11.411999702453612,5.7
590765.676726803,1261554.9331303202,75.83200073242188,11.41100025177002,5.7
588803.0528827407,1261217.5723305761,75.81400299072266,11.407999992370604,5.7
584787.0471581935,1253355.105593386,75.7770004272461,11.336999893188477,5.7
586751.9990069814,1253028.6252681762,75.79499816894531,11.333999633789062,5.7
588066.8592090395,1251152.39535159,75.80699920654297,11.31700038909912,5.7
589811.0333076898,1251820.7219690096,75.822998046875,11.322999954223633,5.7
592629.9146555931,1258242.700166058,75.8489990234375,11.380999565124512,5.7
588265.6526336081,1258119.7150051391,75.80899810791016,11.380000114440918,5.7
588811.7438449762,1258121.2412400874,75.81400299072266,11.380000114440918,5.7
588370.3828664038,1259668.1824348203,75.80999755859375,11.394000053405762,5.7
589462.61833145,1259339.4689813748,75.81999969482422,11.390999794006348,5.7
590119.4234644162,1258456.7174761703,75.82599639892578,11.383000373840332,5.7
590225.5242936269,1259784.0480066785,75.8270034790039,11.395000457763672,5.7
587934.5049988582,1259556.3389123243,75.80599975585938,11.392999649047852,5.7
590335.2024550751,1259563.1015680113,75.8280029296875,11.392999649047852,5.7
591104.2597425762,1257574.813157237,75.83499908447266,11.375,5.7
592732.8105078324,1260344.133431204,75.8499984741211,11.399999618530272,5.7
587718.5569232141,1258781.6528095042,75.80400085449219,11.38599967956543,5.7
589573.8563048255,1258565.6937362382,75.82099914550781,11.383999824523926,5.7
582926.8802996043,1255340.6524462565,75.76000213623047,11.354999542236328,5.7
583692.6317779626,1254458.061571946,75.76699829101562,11.347000122070312,5.7
583256.3791090176,1254456.9154821292,75.76300048828125,11.347000122070312,5.7
582820.4151557432,1254345.1486355653,75.75900268554688,11.345999717712402,5.7
582711.6394212618,1254234.3433132016,75.75800323486328,11.345000267028809,5.7
583256.9585241347,1254235.7672627661,75.76300048828125,11.345000267028809,5.7
583911.3422245164,1254237.4883567113,75.76899719238281,11.345000267028809,5.7
586965.9015789838,1254577.3749904276,75.7969970703125,11.347999572753906,5.8
587397.2036565738,1256679.6599611763,75.8010025024414,11.366999626159668,5.8
587943.0992963332,1256460.01658648,75.80599975585938,11.364999771118164,5.8
587724.984702599,1256459.4126623347,75.80400085449219,11.364999771118164,5.8
587839.243387199,1254579.7775590855,75.80500030517578,11.347999572753906,5.8
